Question,Answer
Hi,"Hi there, what can I do for you ?"
Bye,"See you later, thanks for visiting"
Thank you,My pleasure
Whats your name,My name is py_covid
What do you know,I can give you interesting facts about covid
Hello,Hello thanks for visiting
Goodbye,Have a nice day!
Tell me your name,I am py_covid
Is anyone there ? ,Hi 
Thanks,Any time
How many cases of covid in the world,There are nearly 250 million cases of covid in the world with more than 5 million deaths
Covid situation in the world,"USA, India, Brazil are the top 3 countries in terms of the number of covid cases in the world"
How many cases of covid19 in Vietnam?,There are more 900 thousand cases of covid in the world with more 20 thousand deaths
Covid situation in Vietnam,Ho Chi Minh City and Binh Duong are the top 2 provinces in terms of the number of covid cases in Vietnam
